Name,I1,N1,I2,N2,I3,N3,I4,N4,I5,N5,I6,N6,I7,N7,I8,N8,I9,N9,I10,N10,I11,N11,I12,N12,I13,N13,I14,N14,I15,N15,I16,N16,I17,I18,N18,I19,N19,I20,N20
Lord's Vitamin E-Glow Tablet,Vitamin E,851,Vitamin C,849,Aloe vera,33,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Medisynth Aqui Folium Cream,Thuja occidentalis,801,pimples,618,blackhead,131,and vulgaris,64,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Medisynth Nasaltone Oral Drop,NatrumMuriaticum 30,568,SinapisNigra 30,731,Controls allergy,250,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Medisynth Soriafit Cream,Calendula Officinalis,179,Echinacea Angustifolia,304,HamamelisVirginica,388,Reduces redness,651,yeast infection,868,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Medisynth Wartex Cream,hyperkeratosis,426,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Medisynth Wartex Forte Drop,Causticum,202,ThujaOccidentails,803,AntimoniumCrudum,71,plantar warts,621,flat warts,340,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
New Life NL-2 Blood Urea Creatinin Drop,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
New Life NL-3 Blood Cholestrol Drop,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Ralson Remedies Remepile Drop,Graphities 8X,376,Sulphur 5x,776,Lycopodium 5x,514,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
REPL Dr. Advice No.70 Nodules Drop,Calcerea Carb,169,Calc Fl.,160,Kali Ars,463,Fucus Ves.,347,Phytolacca Decandra,615,Conium Maculatum,246,softening,748,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Rxhomeo Arsenicum Album 30C Pellets,eczema,305,vesicles,845,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Rxhomeo Arsenicum Album Pellets 200C,eczema,305,vesicles,845,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Rxhomeo Carbo Vegetabilis Pellets 200C,cold breath,238,carbuncles,194,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Rxhomeo Rhus Toxicodendron Pellets 200C,rheumatism,669,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Abrotanum Dilution 30 CH,mental fatigue,529,health anxiety,398,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Acid Chryso Ointment,dry,294,rough,689,scaly skin,709,soles,749,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Aconitum Napellus Dilution 30 CH,Ethanol,318,fear,330,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Aletris Farinosa Mother Tincture Q,Ethanol,318,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Alfalfa Malt Energy Stimulant Delicious Chocolate,Alfalfa Q,28,Ginseng Q,365,anaemic patients,43,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Alfalfa Malt Energy Stimulant Delicious Chocolate,Alfalfa Q,28,Ginseng Q,365,anaemic patients,43,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Alfalfa Tonic with Ginseng,Alfalfa,25,Avena Sativa,98,Ginseng,364,China,213,Hydrastis Can,421,Kali Phos,467,Kali Ars,463,Ferrum Aceticum,333,Calcarea Phos,164,sciatica,711,weakness,859,and headache,52,slow digestion,739,poor digestion,628,calves,182,and soles,61,onion,hing,412,mint,538,camphor,184
SBL Alfalfa Tonic with Ginseng,Alfalfa,25,Avena Sativa,98,Ginseng,364,China,213,Hydrastis Can,421,Kali Phos,467,Kali Ars,463,Ferrum Aceticum,333,Calcarea Phos,164,sciatica,711,weakness,859,and headache,52,slow digestion,739,poor digestion,628,calves,182,and soles,61,onion,hing,412,mint,538,camphor,184
SBL Alfalfa Tonic with Ginseng Sugar Free,Alfalfa,25,Avena Sativa,98,Ginseng,364,Cinchona Officinalis,224,Hydrastis Canadensis,422,Kalium Phosphoricum,477,Kalium Arsenicosum,472,Ferrum Aceticum,333,Calcaria Phosphorica,168,weakness,859,emaciation,308,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Allium Cepa Dilution 200 CH,skin,733,throat,798,and bladder,47,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Allium Cepa Dilution 30 CH,skin,733,throat,798,and bladder,47,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Allium Sativum Mother Tincture Q,Garlic,351,Alcohol,22,Relieves cough,655,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Alumina Dilution 200 CH,In females,440,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Ammi Visnaga Cream,Ammivisnaga,38,genitals,361,vitiligo,852,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Andrographis Paniculata Mother Tincture Q,liver,506,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Anti-Dandruff Shampoo,Reetha,653,Tulsi,828,Shikakai,725,Henna,407,Neem,572,Lemon,499,Rosemary oil,688,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Apis Mellifica Dilution 30 CH,coffee,236,camphor,184,etc,316,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Arnica Montana Dilution 1000 CH,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Arnica Montana Dilution 200 CH,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Arnica Montana Dilution 30 CH,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Arnica Montana Dilution 6 CH,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Arnica Montana Herbal Shampoo With Conditioner,Arnica,81,Jaborandi,458,Calendula,176,Dimethiconol,289,Polyquaternium-7,626,Cocodiethanolamide,235,smooth,740,silky,730,use regularly,837,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Arnica Montana Herbal Shampoo with TJC,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Arnica Montana Herbal Shampoo with TJC,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Arnica Ointment,Arnica,81,sprains,761,soreness,754,muscle,545,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Arsenicum Album Dilution 30 CH,wheezing,861,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL AT-Tabs Ant- Traumatic Tablet,Arnica montana,82,Hypericum perforatum,425,Ledum palustre,498,Rhus toxicodendron,676,Ruta graveolens,693,Symphytum officinale,781,Bellis perennis,118,dry place,296,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Azadirachta Indica Mother Tincture Q,scars,710,blackheads,132,fever,338,ascaris,92,and asthma,45,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Bacillinum Dilution 200 CH,garlic,351,onion,593,coffee,236,hing,412,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Baryta Carbonicum Dilution 200 CH,confusion,242,language difficulties,490,hiccoughs,411,and eructation,49,is improved,455,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Baryta Carbonicum Dilution 30 CH,confusion,242,language difficulties,490,hiccoughs,411,and eructation,49,is improved,455,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Berberis Aquifolium Dilution 30 CH,Soothes itchy,752,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Berberis Aquifolium Gel,Berberisaquifolium,125,Sandalwood,700,Turmeric,829,acne,17,pimples,618,skin darkening,734,Attains fair,96,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Berberis Aquifolium Mother Tincture Q,burning,155,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Berberis Vulgaris Mother Tincture Q,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Bio-Combination 1 Tablet,Calcarea phosphorica,165,Ferrum phosphoricum,336,Natrum muriaticum,561,Kalium phosphoricum,477,itching,456,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Bio-Combination 10 Tablet,Calcarea phosphorica,165,Ferrum phosphoricum,336,Kalium muriaticum,476,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Bio-Combination 11 Tablet,Ferrum phosphoricum,336,Kali muriaticum,465,Kali sulphuricum,469,Natrum muriaticum,561,Natrum sulphuricum,566,runny,691,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Bio-Combination 12 Tablet,Ferrum phosphoricum,336,Natrum muriaticum,561,Kalium phosphoricum,477,Magnesia phosphorica,518,congestion,243,over exertion,599,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Bio-Combination 15 Tablet,Calcarea phosphorica,165,Ferrum phosphoricum,336,Kalium phosphoricum,477,Magnesia phosphorica,518,Kalium sulphuricum,478,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Bio-Combination 16 Tablet,Calcarea phosphorica,165,Ferrum phosphoricum,336,Kalium phosphoricum,477,Magnesium phosphoricum,520,Natrum muriaticum,561,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Bio-Combination 17 Tablet,Calcarea fluorica,162,Kalium phosphoricum,477,Ferrum phosphoricum,336,Kalium muriaticum,476,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Bio-Combination 19 Tablet,Ferrum phosphoricum,336,Magnesia phosphorica,518,Kalium sulphuricum,478,Natrum sulphuricum,566,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Bio-Combination 2 Tablet,Kalium phosphoricum,477,Magnesia phosphorica,518,Natrum muriaticum,561,Natrum sulphuricum,566,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Bio-Combination 20 Tablet,Calcarea fluorica,162,Calcarea sulphurica,166,Natrum muriaticum,561,Kalium sulphuricum,478,Natrum sulphuricum,566,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Bio-Combination 21 Tablet,Calcarea phosphorica,165,Ferrum phosphoricum,336,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Bio-Combination 23 Tablet,Ferrum phosphoricum,336,Calcarea fluorica,162,Magnesia phosphorica,518,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Bio-Combination 25 Tablet,Natrum phosphoricum,564,Natrum sulphuricum,566,Silicea,727,acid dyspepsia,5,For adults,343,For children,344,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Bio-Combination 26 Tablet,Magnesia phosphorica,518,Calcarea phosphorica,165,Kalium phosphoricum,477,Calcarea fluorica,162,Nymphomania,586,with aching,865,pressing,630,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Bio-Combination 27 Tablet,Calcarea Phosphorica,165,Kalium Phosphoricum,477,Natrum Muriaticum,561,Keep\\xa0away\\xa0from\\xa0the\\xa0direct\\xa0sunlight,483,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Bio-Combination 28 Tablet,Calcarea fluorica,162,Calcarea phosphorica,165,Calcarea sulphurica,166,Ferrum phosphoricum,336,Kalium muriaticum,476,Kalium phosphoricum,477,Kalum sulphuricum,482,Magnesia phosphorica,518,Natrum muriaticum,561,Natrum phosphoricum,564,Natrum sulphuricum,566,Silicea,727,ear,302,nose,581,onion,593,hing,412,mint,camphor,184,,#N/A,,#N/A
SBL Bio-Combination 5 Tablet,Ferrum phosphoricum,336,Kalium muriaticum,476,Natrum muriaticum,561,Kalium sulphuricum,478,nose,581,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Bio-Combination 6 Tablet,Ferrum phosphoricum,336,Kalium muriaticum,476,Magnesia phosphorica,518,Natrum muriaticum,561,Natrum sulphuricum,566,For adults,343,For children,344,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Borax Dilution 200 CH,Boric acid,140,Ethanol,318,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Borax Dilution 30 CH,Boric acid,140,Ethanol,318,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Bryonia Alba Dilution 200 CH,coryza,254,excessive thirst,323,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Bryonia Alba Dilution 30 CH,coryza,254,excessive thirst,323,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Bryonia Alba Mother Tincture Q,coryza,254,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Calcarea Fluorica Biochemic Tablet 12X,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Calcarea Fluorica Biochemic Tablet 200X,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Calcarea Fluorica Biochemic Tablet 30X,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Calcarea Fluorica Biochemic Tablet 3X,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Calcarea Fluorica Biochemic Tablet 6X,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Calcarea Fluoricum Dilution 200 CH,uterine problems,839,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Calcarea Fluoricum Dilution 30 CH,uterine problems,839,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Calcarea Phosphorica Biochemic Tablet 12X,puberty,636,arthritic pains,89,hip joints,413,For adults,343,For children,344,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Calcarea Phosphorica Biochemic Tablet 3X,puberty,636,arthritic pains,89,hip joints,413,For adults,343,For children,344,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Calcarea Phosphorica Biochemic Tablet 6X,puberty,636,arthritic pains,89,hip joints,413,For adults,343,For children,344,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
