Name,I1,N1,I2,N2,I3,N3,I4,N4,I5,N5,I6,N6,I7,N7,I8,N8,I9,N9,I10,N10,I11,N11,I12,N12,I13,N13,I14,N14,I15,N15,I16,N16,I17,I18,N18,I19,N19,I20,N20
SBL Calotropis Gigantea Mother Tincture Q,garlic,351,onion,593,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Cantharis Dilution 30 CH,In females,440,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Cantharis Mother Tincture Q,In females,440,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Cantharis Ointment,Cantharis MT,189,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Carbo Vegetabilis Dilution 30 CH,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Causticum Dilution 200 CH,Natrum causticum,558,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Causticum Dilution 30 CH,Natrum causticum,558,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Chelidonium Majus Mother Tincture Q,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Cineraria Maritima 10% Eye Drop,Cineraria maritima,225,Glycerinum,373,Aqua Distilled,76,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Cineraria Maritima Euphrasia Eye Drop,Cineraria Maritima,225,Euphrasia Officinalis,322,Calendula Officinalis,179,Kali Muriaticum,465,Calcarea Fluorica,162,Magnesia Carbonica,517,Silicea,727,Boric acid,140,and conjunctivitis,48,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Cineraria Maritima Euphrasia Eye Drop,Cineraria Maritima,225,Euphrasia Officinalis,322,Calendula Officinalis,179,Kali Muriaticum,465,Calcarea Fluorica,162,Magnesia Carbonica,517,Silicea,727,Boric acid,140,and conjunctivitis,48,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Cineraria Maritima Eye Drops Free From Alcohol,Cineraria maritima,225,Glycerinum,373,Aqua distilled,76,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Cochlearia Armoracia Mother Tincture Q,Cochlearia armoracia,234,Alcohol,22,Relieves swelling,661,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Coffea Cruda Dilution 200 CH,alcohol,22,recreational drugs,644,garlic,351,onion,593,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Colchicum Dilution 30 CH,sharp,724,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Colocynthis Dilution 200 CH,ColocynthisEthanol,241,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Colocynthis Dilution 30 CH,ColocynthisEthanol,241,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Crataegus Oxyacantha Q Mother Tincture,Treats arteriosclerosis,813,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Curcuma Longa Mother Tincture Q,itching,456,garlic,351,onion,593,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Dibonil Drop,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Dibonil Tablet,Crataegus oxyacantha,260,Cuprum arsenicosum,264,Acidum phosphoricum,12,Syzygium jambolanum,784,Cephalandra indica,206,Gymnema sylvestre,382,Uranium nitricum,833,emaciation,308,great thirst,378,restlessness,667,and melancholia,56,bones,138,periosteum,607,dry place,296,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Dibonil Tablet,Crataegus oxyacantha,260,Cuprum arsenicosum,264,Acidum phosphoricum,12,Syzygium jambolanum,784,Cephalandra indica,206,Gymnema sylvestre,382,Uranium nitricum,833,emaciation,308,great thirst,378,restlessness,667,and melancholia,56,bones,138,periosteum,607,dry place,296,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Drops No. 1 (For Hair Care),Arnica Montana,82,Acidum Phosphoricum,12,Lycopodium Clavatum,515,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Drops No. 4 (For BP),Rauvolfia serpentine,643,Crataegusoxyacantha,261,Veratrumviride,842,Arnica montana,82,Kallphosphoricum,479,Viscum album,847,Passifloraincarnata,605,Cactus grandiflorus,159,Alcohol,22,irregular,453,feeble,331,intermittent pulse,449,onion,593,hing,412,mint,538,camphor,184,garlic etc.,,#N/A,,#N/A,,#N/A
SBL Drops No. 8 ( For Allergic Rhinitis),Allium Cepa,30,Euphrasia officinalis,322,Sabadilla,696,Solidago Vir,750,watery coryza,857,red eyelids,645,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Euphrasia Officinalis Dilution 30 CH,In females,440,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Ferrum Metallicum Dilution 30 CH,vomiting,853,In women,441,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Ferrum Phosphoricum Biochemic Tablet 12X,Ferrum Phosphoricum,336,Alcohol,22,dental work,282,injury,447,menses,527,etc,316,Relieves coughing,656,In women,441,Relieves fever,657,cough,255,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Ferrum Phosphoricum Biochemic Tablet 3X,Ferrum Phosphoricum,336,Alcohol,22,dental work,282,injury,447,menses,527,etc,316,Relieves coughing,656,In women,441,Relieves fever,657,cough,255,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Ferrum Phosphoricum Biochemic Tablet 6X,Ferrum Phosphoricum,336,Alcohol,22,dental work,282,injury,447,menses,527,etc,316,Relieves coughing,656,In women,441,Relieves fever,657,cough,255,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Ferrum Picricum Trituration Tablet 3X,garlic,351,onion,593,coffee,236,hing,412,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Gelsemium Sempervirens Dilution 200 CH,Natural Minerals,570,Gelsemium Sempervirens,359,Lactose,488,Sucrose,771,heavy eyelids,402,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Gelsemium Sempervirens Dilution 30 CH,Natural Minerals,570,Gelsemium Sempervirens,359,Lactose,488,Sucrose,771,heavy eyelids,402,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Glowing Beauty Fairness Cream,Calendula,176,Heartwood,401,Thuja,799,Berberis,120,Aloevera,34,Improves complexion,436,acne,17,scars,710,Reduces dryness,647,Treats injuries,820,skin diseases,735,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Gnaphalium Polycephalum Dilution 200 CH,garlic,351,onion,593,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Gnaphalium Polycephalum Dilution 30 CH,garlic,351,onion,593,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Graphites Ointment,Graphites,375,Dermatitis,285,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Grindelia Robusta Mother Tincture Q,Grindelia Robusta,379,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Guaiacum Mother Tincture Q,stiffness,765,stiffness,765,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Guatteria Gaumeri Mother Tincture Q,abdominal distention,1,etc,316,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Hamamelis Virginica Dilution 200 CH,Hamamelis Virginica,387,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Hamamelis Virginica Dilution 30 CH,Hamamelis Virginica,387,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Hamamelis Virginica Mother Tincture Q,Hamamelis Virginica,387,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Homeocal Tablet,Silicea 3x,728,backache,105,backache,105,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Homeocal Tablet,Silicea 3x,728,backache,105,backache,105,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Hydrangea Arborescens Mother Tincture Q,Hydrangea Arborescens,419,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Hydrocotyle Asiatica Mother Tincture Q,skin diseases,735,dropsy,292,elephantiasis,306,leprosy,500,Improves memory,437,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Hypericum Perforatum Dilution 200 CH,Treats hyperhydrosis,819,Reduces nervousness,648,Relieves headache,659,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Hypericum Perforatum Dilution 30 CH,Treats hyperhydrosis,819,Reduces nervousness,648,Relieves headache,659,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Hypericum Perforatum Mother Tincture Q,Treats hyperhydrosis,819,Reduces nervousness,648,Relieves headache,659,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Ignatia Amara Dilution 200 CH,hysterical vomiting,431,camphor,184,etc.,317,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Insulinum Dilution 200 CH,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Insulinum Dilution 30 CH,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Jaborandi Hair Oil,smooth,740,silky,730,bring shine,144,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Jaborandi Mother Tincture Q,dry place,296,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Jaborandi Plus Hair Oil,Perfume,606,smooth,740,silky,730,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Jaborandi Plus Hair Oil,Perfume,606,smooth,740,silky,730,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Justicia Adhatoda Dilution 1000 CH,Justicia Adhatoda,462,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Justicia Adhatoda Dilution 30 CH,Justicia Adhatoda,462,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Justicia Adhatoda Mother Tincture Q,Justicia Adhatoda,462,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Kali Bichromicum Dilution 200 CH,violent sneezes,846,especially fat,315,chubby babies,218,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Kali Muriaticum Biochemic Tablet 6X,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Kali Nitricum Dilution 30 CH,Kali Nitricum,466,In women,441,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Kali Phosphoricum Biochemic Tablet 12X,anxiety,73,For adults,343,For children,344,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Kali Phosphoricum Biochemic Tablet 30X,anxiety,73,For adults,343,For children,344,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Kali Phosphoricum Biochemic Tablet 6X,anxiety,73,For adults,343,For children,344,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Kali Sulphurica Biochemic Tablet 6X,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Kreosotum Dilution 30 CH,Kreosotum,486,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Lachesis Dilution 200 CH,garlic,351,onion,593,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Lemna Minor Mother Tincture Q,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Lobelia Inflata Mother Tincture Q,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Lycopodium Clavatum Dilution 1000 CH,Lycopodium Clavatum,515,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Lycopodium Clavatum Dilution 200 CH,Lycopodium Clavatum,515,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Lycopodium Clavatum Dilution 30 CH,Lycopodium Clavatum,515,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Lycopodium Clavatum Mother Tincture Q,Lycopodium Clavatum,515,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Magnesia Phosphorica Biochemic Tablet 12X,Blood corpuscles,133,muscles,546,brain,143,spinal marrow,757,Reduces pains,650,cramps,258,For adults,343,For children,344,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Magnesia Phosphorica Biochemic Tablet 6X,Blood corpuscles,133,muscles,546,brain,143,spinal marrow,757,Reduces pains,650,cramps,258,For adults,343,For children,344,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Medorrhinum Dilution 1000 CH,garlic,351,onion,593,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Medorrhinum Dilution 200 CH,garlic,351,onion,593,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Mercurius Solubilis Dilution 200 CH,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Mercurius Solubilis Dilution 30 CH,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Natrum Muriaticum Biochemic Tablet 6X,Natrum Muriaticum,561,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Natrum Muriaticum Dilution 30 CH,Natrum Muriaticum,561,vomiting\\xa0and diarrhoea,854,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Natrum Muriaticum Dilution 6 CH,Natrum Muriaticum,561,vomiting\\xa0and diarrhoea,854,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Natrum Phosphoricum Biochemic Tablet 12X,Relieves heartburn,660,hyperacidity,424,indigestion,442,coffee,236,camphor,184,etc.,317,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Natrum Phosphoricum Biochemic Tablet 6X,Relieves heartburn,660,hyperacidity,424,indigestion,442,coffee,236,camphor,184,etc.,317,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
