Name,I1,N1,I2,N2,I3,N3,I4,N4,I5,N5,I6,N6,I7,N7,I8,N8,I9,N9,I10,N10,I11,N11,I12,N12,I13,N13,I14,N14,I15,N15,I16,N16,I17,I18,N18,I19,N19,I20,N20
SBL Nuphar Lutea Mother Tincture Q,Nuphar Lutea,583,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Nux Vomica Dilution 200 CH,Elevates mood,307,cold,237,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Nux Vomica Dilution 30 CH,Elevates mood,307,cold,237,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Nux Vomica Mother Tincture Q,Nux Vomica,584,cold,237,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Ocimum Sanctum Mother Tincture Q,acne,17,ringworm infections,683,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Onosmodium Virginianum Dilution 30 CH,False Gromwell,328,Alcohol,22,Water,856,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Osteo Arthritic Nosode Dilution 200 CH,muscles,546,ligament,501,osteoarthritis,597,rheumatoid arthritis,670,psoriatic arthritis,634,ankylosing spondylitis,70,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Paeonia Officianalis Mother Tincture Q,Paeonia Officinalis,600,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Petroleum Cream,Petroleum,608,Heals dryness,396,itching,456,constricted,249,sensitive,721,leathery skin,494,Heals rough,397,cracked,256,fissured fingers,339,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Petroleum Dilution 200 CH,Alcohol,22,eyelid inflammation,326,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Petroleum Dilution 30 CH,Alcohol,22,eyelid inflammation,326,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Phosphorus Dilution 30 CH,Phosphorous Dilution,610,pneumonia,623,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Physostigma Venenosum Dilution 30 CH,garlic,351,onion,593,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Pimplex Tablet,Arsenicum iodatum,86,Nux vomica,584,Berberis aquifolium,122,Echinacea angustifolia,304,Asterias rubens,93,dry place,296,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Plantago Major Mother Tincture Q,Plantago,619,gastritis,354,sinuses,732,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Pothos Foetidus Mother Tincture Q,Pothos Foetidus,629,Treats\\xa0headaches,825,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Rhus Toxicodendron Dilution 1000 CH,Rhus Toxicodendron,676,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Rhus Toxicodendron Dilution 200 CH,Rhus Toxicodendron,676,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Rhus Toxicodendron Dilution 30 CH,Rhus Toxicodendron,676,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Rhus Toxicodendron Mother Tincture Q,Rhus Toxicodendron,676,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Robinia Pseudacacia Dilution 30 CH,Robinia Pseudocacia,685,nausea,571,frontal headache.,346,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Robinia Pseudacacia Dilution 6 CH,Robinia Pseudocacia,685,nausea,571,frontal headache.,346,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Rumex Crispus Dilution 30 CH,Ethanol,318,Water,856,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Ruta Graveolens Dilution 30 CH,Ruta Graveolens,693,knees,485,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Ruta Graveolens Mother Tincture Q,Ruta Graveolens,693,sprained ankle,760,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Sabal Serrulata Dilution 30 CH,Sabal Serrulata,697,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Sabina Mother Tincture Q,Sabina,698,garlic,351,onion,593,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Sarracenia Purpurea Dilution 1000 CH,swelling,778,and soreness,62,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Scalptone Tablet,Badiaga 3x,106,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Scutellareia Mother Tincture Q,Scutellaria,714,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Selenium Dilution 200 CH,Selenium Dilution,718,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Selenium Dilution 30 CH,Selenium Dilution,718,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Senega Mother Tincture Q,Senega,719,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Sepia Dilution 200 CH,Sepia,722,anxiety,73,mood swings,540,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Sepia Dilution 30 CH,Sepia,722,anxiety,73,mood swings,540,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Sepia Dilution 6 CH,Sepia,722,anxiety,73,mood swings,540,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Serum Anguillae (Eel Serum) Dilution 30 CH,Anguillae,69,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Silicea Biochemic Tablet 12X,Silicon dioxide,729,Ethanol,318,Water,856,Cures dryness,271,itching,456,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Silicea Biochemic Tablet 6X,Silicon dioxide,729,Ethanol,318,Water,856,Cures dryness,271,itching,456,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Silicea Dilution 1000 CH,Silicon dioxide,729,Ethanol,318,Water,856,Cures dryness,271,itching,456,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Silicea Dilution 200 CH,Silicon dioxide,729,Ethanol,318,Water,856,Cures dryness,271,itching,456,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Silicea Dilution 30 CH,Silicon dioxide,729,Ethanol,318,Water,856,Cures dryness,271,itching,456,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Silk N Stay Anti Acne Berberis Soap,Sodium cocoate,743,Sodium stearate,747,Propylene glycol,631,Sucrose,771,Sodium laurethsulfate,745,Glycerin,371,Sodium chloride,742,Fragrance,345,Calendula extract,177,Berberis extract,123,Disodium edta,290,Remove scars,663,Improves complexion,436,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Silk N Stay Antiseptic Calendula Soap,Sodium palmate,746,Perfume,606,Titanium dioxide,808,Remove scars,663,acne,17,Improves complexion,436,Heals,395,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Solidago Virgaurea Mother Tincture Q,Solidago Virgaurea,751,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Spigelia Anthelmia Dilution 30 CH,Ethanol,318,Water,856,Cures vertigo,276,Reduces toothache,652,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Spongia Tosta Dilution 200 CH,Ethanol,318,Water,856,Treats goitre,818,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Spongia Tosta Dilution 30 CH,Ethanol,318,Water,856,Treats goitre,818,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Staphysagria Dilution 200 CH,Improves tonsillitis,438,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Staphysagria Mother Tincture Q,Satphysagria Seeds,706,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Sulphur Dilution 200 CH,Absolute alcohol,3,burning,155,and inflammation,53,feet,332,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Sulphur Ointment,Treats dry,816,scaly,708,unhealthy skin,832,Treats itching,821,burning,155,pustules,640,rhagades,668,hang-nails,389,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Syzygium Jambolanum Mother Tincture Q,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Syzygium Jambolanum Trituration Tablet 1X,Syzgium Jambolanum,782,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Tellurium Dilution 30 CH,Tellurium,788,pimple eruptions,617,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Teucrium Marum Verum Dilution 30 CH,hing,412,garlic,351,onion,593,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Thuja Gel,hair,384,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Thuja Occidentalis Dilution 1000 C,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Thuja Occidentalis Dilution 200 CH,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Thuja Occidentalis Dilution 30 CH,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Thuja Occidentalis Mother Tincture Q,Thuja Occidentalis,801,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Thuja Ointment,Abort variola,2,pustule,639,eruptions,314,Cures polyps,274,corns,253,brown spots,147,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Thuja Roll-On,Paraffin andLanoin),604,eruptions,314,corns,253,brown spots,147,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Thyroidinum Dilution 30 CH,Thyroidinium,806,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Thyroidinum Trituration Tablet 6X,Thyroidinium,806,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Titanium Dilution 30 CH,Metal Titanium,533,Treats lupus,822,chronic rhinitis,217,impaired vision,435,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Tribulus Terrestris Mother Tincture Q,Tribulus Terrestris,826,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Urtica Urens Mother Tincture Q,Urtica Urens,836,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Vertefine Drop,Bryonia 3x,149,Cimicifuga 3x,220,Rhustoxicodendron 6x,680,spondylosis,758,sacroiliac arthritis,699,buttocks,156,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Withania S (Ashwagandha) Dilution 30 CH,Withania Somnifera,867,weakness,859,anaemia,41,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Withania Somnifera Mother Tincture Q,Withania Somnifera,867,weakness,859,anaemia,41,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
SBL Yohimbinum Mother Tincture Q,Yohimbinum,870,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Wheezal Arnica Hair N Scalp Anti-Dandruff Shampoo,Arnica,81,Jaborandi,458,Neem,572,Tulsi,828,Lemon,499,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Wheezal Arnica Hair N Scalp Treatment Homeopathic Medicine,Brahmi Q,142,Jaborandi,458,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Wheezal Arnica Hair N Scalp Treatment Homeopathic Medicine,Brahmi Q,142,Jaborandi,458,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Wheezal Calendula Nectar Prickly Heat Powder,Arnica Q,83,Calendula Q,180,BeberisAqui. Q,113,Cantharis Q,190,HeparSulph 3X,410,itching,456,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Wheezal Calendula Nectar Prickly Heat Powder,Arnica Q,83,Calendula Q,180,BeberisAqui. Q,113,Cantharis Q,190,HeparSulph 3X,410,itching,456,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Wheezal Calendula Nectar Prickly Heat Powder,Arnica Q,83,Calendula Q,180,BeberisAqui. Q,113,Cantharis Q,190,HeparSulph 3X,410,itching,456,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Wheezal Calendula Nectar Prickly Heat Powder,Arnica Q,83,Calendula Q,180,BeberisAqui. Q,113,Cantharis Q,190,HeparSulph 3X,410,itching,456,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Wheezal Eye Bright Eye Drop,Euphrasia off,320,Cin. maritima,223,Argentum nit,78,Acidumboricum,15,Zincumsulphuricum,874,Alcoholic content,24,inflammation,444,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Wheezal Hairex Tablet,Acidum hydroflouricum,8,Acidum phos,11,Aloe soc,31,Anantherum mur,44,Baryta carb,110,Borax,139,China officinalis,215,Mancinella,523,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Wheezal Hymusa Syrup,Bryonia Q,153,Arnica Q,83,RhusTox Q,678,Dulcamara Q,299,Ruta Q,694,Rhododendron 3X,672,gouty inflammation,374,sprain,759,myalgia,549,sciatica,711,arthritis,90,lumbago,510,lame,489,Treats rigidity,824,stiffness,765,numbness,582,aching,Cures sprain,275,rending,665,stitching pain,767
Wheezal Jaborandi Hair Treatment Oil,Jaborandi Q,460,Brahmi Q,142,Wiesbaden 6x,863,Cantharis Q,190,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Wheezal Mel-X Melasma Cream,Alovera,36,Berberis aquifolium,122,Calendula officinalis,179,Curcuma longa,265,Ocimum sanctum,588,Santalum album,702,Thuja occidentalis,801,Alcohol content,23,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Wheezal Mel-X Melasma Tablet,Caulophyllum,200,China officinalis,215,Ferrum phosphoricum,336,Natrum hypochlorosum,559,Sepia,722,Oleum jacoris,590,Thuja occidentalis,801,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Wheezal Mel-X Melasma Tablet,Caulophyllum,200,China officinalis,215,Ferrum phosphoricum,336,Natrum hypochlorosum,559,Sepia,722,Oleum jacoris,590,Thuja occidentalis,801,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Wheezal Otorine Ear Drop,Belladonna Q,117,Mullein Q,544,toothache,810,Cures acute,269,noise painful,579,Addressesdeafness,19,humming noises,418,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Wheezal Petrolatum-W Pure Petroleum Jelly,Calendula Q,180,Maintains soft,522,Cure chapped,267,cracked skin,257,rashes,641,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Wheezal Scaboil,Treat scabies,812,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A